points_x,points_y,celltypes,phenotypes
25.9194,22.7294,Necrotic,
24.8218,22.8946,Necrotic,
25.0605,23.7953,Necrotic,
26.7225,25.2676,Necrotic,
25.2749,24.2003,Necrotic,
25.2774,23.9326,Necrotic,
25.1347,23.779,Necrotic,
25.0479,23.3889,Necrotic,
26.0207,22.0346,Necrotic,
25.1391,23.8546,Necrotic,
25.5017,23.2794,Necrotic,
26.3977,23.2703,Necrotic,
23.8228,24.5161,Necrotic,
25.7208,24.0891,Necrotic,
24.6936,23.3792,Necrotic,
25.568,24.4175,Necrotic,
26.2816,23.6809,Necrotic,
24.5905,20.4536,Necrotic,
24.1939,25.8945,Necrotic,
24.841,22.5178,Necrotic,
25.2768,19.1866,Necrotic,
24.1745,24.8942,Necrotic,
23.4023,23.8099,Necrotic,
25.0989,24.0769,Necrotic,
26.0245,23.1966,Necrotic,
24.9263,22.3795,Necrotic,
25.447,25.7042,Necrotic,
25.2254,23.7527,Necrotic,
25.0932,23.6669,Necrotic,
23.6488,24.8603,Necrotic,
18.4968,23.7536,Necrotic,
26.0099,25.9271,Necrotic,
24.7772,23.7582,Necrotic,
25.1449,23.8154,Necrotic,
24.7172,25.4214,Necrotic,
26.5591,29.1645,Necrotic,
23.3183,24.362,Necrotic,
24.8555,24.0272,Necrotic,
25.1215,24.4778,Necrotic,
24.2447,19.6598,Necrotic,
26.397,24.0661,Necrotic,
23.517,26.0497,Necrotic,
