points_x,points_y,celltypes,phenotypes
18.4964,24.2644,Necrotic,
28.0916,27.5562,Necrotic,
22.6817,23.5574,Necrotic,
19.0098,27.3421,Necrotic,
21.0346,23.6209,Necrotic,
25.1245,33.3401,Necrotic,
22.3833,25.5009,Necrotic,
23.7488,22.2387,Necrotic,
20.9507,25.8858,Necrotic,
23.0003,22.4353,Necrotic,
22.7453,25.2729,Necrotic,
21.3792,24.729,Necrotic,
20.7767,27.0229,Necrotic,
14.8177,24.3029,Necrotic,
13.2819,27.1,Necrotic,
18.6191,25.7139,Necrotic,
22.3415,27.1569,Necrotic,
19.5849,23.2664,Necrotic,
32.49,28.563,Necrotic,
26.0698,20.3151,Necrotic,
20.0346,24.0616,Necrotic,
18.2971,21.9173,Necrotic,
18.4886,27.1662,Necrotic,
30.9051,28.2104,Necrotic,
24.1002,28.6897,Necrotic,
17.7295,22.9512,Necrotic,
32.7915,29.2244,Necrotic,
18.7926,24.2734,Necrotic,
24.4669,30.1392,Necrotic,
29.1282,29.6298,Necrotic,
19.7488,23.1015,Necrotic,
27.8042,28.3424,Necrotic,
19.0315,24.2865,Necrotic,
20.0512,22.988,Necrotic,
21.9358,27.4043,Necrotic,
30.2195,26.7633,Necrotic,
23.0396,21.9549,Necrotic,
18.7638,21.806,Necrotic,
19.2866,24.593,Necrotic,
19.2335,25.8381,Necrotic,
30.6764,26.9552,Necrotic,
18.8832,25.5743,Necrotic,
19.4806,23.1673,Necrotic,
18.0879,24.0721,Necrotic,
21.6543,24.842,Necrotic,
28.005,28.6996,Necrotic,
18.2157,24.6939,Necrotic,
19.7061,25.7529,Necrotic,
23.152,21.1383,Necrotic,
19.4058,23.3243,Necrotic,
20.2562,22.6655,Necrotic,
18.5992,25.3348,Necrotic,
19.0518,24.4055,Necrotic,
17.3436,27.0102,Necrotic,
16.1187,25.211,Necrotic,
24.0508,21.6797,Necrotic,
30.2628,27.0287,Necrotic,
19.0921,23.2891,Necrotic,
22.5625,26.7322,Necrotic,
18.347,26.3715,Necrotic,
17.8196,28.1042,Necrotic,
26.6376,21.3019,Necrotic,
22.8906,25.1085,Necrotic,
20.3124,26.6562,Necrotic,
16.0999,26.5024,Necrotic,
18.6635,24.5977,Necrotic,
19.4675,21.8782,Necrotic,
30.1504,27.1613,Necrotic,
18.9712,24.4895,Necrotic,
31.1185,26.7703,Necrotic,
23.0275,27.1191,Necrotic,
22.7463,26.9979,Necrotic,
18.6104,23.0992,Necrotic,
19.1732,24.263,Necrotic,
22.8642,30.3742,Necrotic,
22.9149,21.5357,Necrotic,
30.0373,26.9321,Necrotic,
31.1156,27.0946,Necrotic,
19.8383,22.3063,Necrotic,
19.61,22.7418,Necrotic,
18.0413,23.2659,Necrotic,
21.6162,18.8634,Necrotic,
