points_x,points_y,celltypes,phenotypes
27.9819,24.9382,Necrotic,
24.4606,25.5139,Necrotic,
26.7228,23.0145,Necrotic,
22.9572,25.894,Necrotic,
24.556,25.2399,Necrotic,
22.7321,24.7511,Necrotic,
24.6414,25.4303,Necrotic,
23.6757,24.173,Necrotic,
24.5839,25.1383,Necrotic,
25.326,23.1954,Necrotic,
23.6178,21.6415,Necrotic,
24.0551,24.4495,Necrotic,
22.2535,27.083,Necrotic,
24.4279,25.1453,Necrotic,
28.3347,24.5625,Necrotic,
22.3265,24.8923,Necrotic,
24.4177,25.2441,Necrotic,
24.5802,25.2548,Necrotic,
24.2449,26.4318,Necrotic,
24.557,25.2369,Necrotic,
22.1436,26.544,Necrotic,
25.6881,24.023,Necrotic,
24.8836,25.8487,Necrotic,
24.5228,25.2225,Necrotic,
25.821,23.7262,Necrotic,
25.4355,23.7272,Necrotic,
24.6516,25.2612,Necrotic,
28.803,25.8615,Necrotic,
24.3314,25.966,Necrotic,
22.907,23.651,Necrotic,
24.6487,25.7452,Necrotic,
24.9251,26.1859,Necrotic,
26.5444,26.603,Necrotic,
23.1828,25.6985,Necrotic,
25.1514,26.8067,Necrotic,
25.3696,24.1764,Necrotic,
24.9106,25.3756,Necrotic,
24.6398,23.4925,Necrotic,
24.5799,25.2213,Necrotic,
24.525,25.0518,Necrotic,
22.8024,27.1934,Necrotic,
24.5569,25.9172,Necrotic,
24.4535,25.7538,Necrotic,
24.5553,25.312,Necrotic,
27.6416,25.2799,Necrotic,
23.0131,26.2163,Necrotic,
26.0343,23.4261,Necrotic,
23.1962,23.2646,Necrotic,
24.7106,25.6236,Necrotic,
24.5523,25.2702,Necrotic,
25.9503,23.2609,Necrotic,
24.7128,24.9669,Necrotic,
24.546,25.4116,Necrotic,
27.501,23.4787,Necrotic,
24.615,25.3574,Necrotic,
28.1821,27.4103,Necrotic,
25.6347,23.3744,Necrotic,
24.7213,25.6237,Necrotic,
24.6583,25.5368,Necrotic,
24.5619,25.6208,Necrotic,
24.4858,25.322,Necrotic,
27.2447,23.0282,Necrotic,
26.631,23.5517,Necrotic,
24.1094,24.8169,Necrotic,
23.4203,25.9867,Necrotic,
21.6612,25.9925,Necrotic,
26.6242,24.9468,Necrotic,
24.6068,25.2953,Necrotic,
26.7366,24.5045,Necrotic,
24.5207,25.2608,Necrotic,
24.7676,25.1894,Necrotic,
25.4337,24.3785,Necrotic,
24.7027,25.3434,Necrotic,
24.4247,24.7726,Necrotic,
24.284,25.0373,Necrotic,
23.0154,24.9544,Necrotic,
22.5967,24.5566,Necrotic,
23.9419,26.1991,Necrotic,
24.5309,25.1796,Necrotic,
26.2054,23.8298,Necrotic,
24.6533,25.1834,Necrotic,
25.3537,26.1014,Necrotic,
24.5139,26.1839,Necrotic,
23.9604,23.5096,Necrotic,
24.2659,25.4849,Necrotic,
25.4824,22.0988,Necrotic,
25.572,25.7495,Necrotic,
24.8164,26.5559,Necrotic,
25.5209,24.0536,Necrotic,
27.0721,22.4851,Necrotic,
23.6086,25.7334,Necrotic,
25.3207,24.5355,Necrotic,
29.0745,27.8763,Necrotic,
24.2311,27.2696,Necrotic,
23.3208,24.5811,Necrotic,
23.9719,25.8575,Necrotic,
24.8152,25.5065,Necrotic,
26.2101,23.227,Necrotic,
27.0747,25.2662,Necrotic,
25.7423,24.4581,Necrotic,
25.8479,22.9009,Necrotic,
23.7442,24.695,Necrotic,
24.5262,26.7134,Necrotic,
24.0906,23.9371,Necrotic,
25.5013,22.5952,Necrotic,
27.1024,23.9306,Necrotic,
23.4485,27.4345,Necrotic,
23.9697,23.0025,Necrotic,
25.5047,25.1193,Necrotic,
