points_x,points_y,celltypes,phenotypes
24.8526,29.0735,Necrotic,
28.9529,27.1062,Necrotic,
22.947,28.8072,Necrotic,
29.1971,24.0223,Necrotic,
23.133,18.5195,Necrotic,
26.6084,28.467,Necrotic,
27.9331,28.4718,Necrotic,
25.3022,29.7429,Necrotic,
30.8642,22.4998,Necrotic,
20.6749,28.7024,Necrotic,
30.0208,27.1277,Necrotic,
25.2442,29.5858,Necrotic,
28.3456,29.0213,Necrotic,
29.3553,23.2183,Necrotic,
28.359,27.2097,Necrotic,
26.407,30.3418,Necrotic,
22.0004,26.6836,Necrotic,
27.4209,28.2304,Necrotic,
23.5131,19.6812,Necrotic,
30.3585,22.5286,Necrotic,
22.8693,21.4188,Necrotic,
22.8895,17.4809,Necrotic,
20.1625,30.3956,Necrotic,
28.7164,27.5639,Necrotic,
22.9296,28.6657,Necrotic,
20.9403,28.6396,Necrotic,
30.5094,24.9152,Necrotic,
25.0556,29.3275,Necrotic,
24.0091,29.9004,Necrotic,
21.8773,17.2346,Necrotic,
27.3834,27.7872,Necrotic,
22.3638,20.1117,Necrotic,
21.1812,29.842,Necrotic,
31.4805,23.6387,Necrotic,
23.1191,28.7251,Necrotic,
27.7291,27.9663,Necrotic,
28.2111,19.983,Necrotic,
29.3824,23.5947,Necrotic,
23.4183,29.1342,Necrotic,
23.1922,18.9762,Necrotic,
26.9959,28.0136,Necrotic,
24.0098,30.7663,Necrotic,
32.8324,21.6396,Necrotic,
32.386,21.2933,Necrotic,
32.726,22.1832,Necrotic,
21.9322,27.206,Necrotic,
30.4674,23.0187,Necrotic,
26.053,31.0418,Necrotic,
23.757,31.7652,Necrotic,
26.0422,32.6429,Necrotic,
22.6764,28.7885,Necrotic,
27.6046,26.1325,Necrotic,
31.2945,25.6406,Necrotic,
25.4046,29.9201,Necrotic,
28.1228,23.8375,Necrotic,
22.1671,19.9388,Necrotic,
22.7219,30.3129,Necrotic,
26.9887,27.7556,Necrotic,
31.9383,21.5651,Necrotic,
20.3863,29.0284,Necrotic,
27.782,28.0007,Necrotic,
27.4609,20.8495,Necrotic,
21.1933,28.1845,Necrotic,
28.4547,27.0031,Necrotic,
29.07,24.4185,Necrotic,
27.1628,27.3351,Necrotic,
22.0024,20.1889,Necrotic,
23.717,29.5283,Necrotic,
30.4711,27.4759,Necrotic,
30.7092,24.5769,Necrotic,
25.96,30.6269,Necrotic,
29.8468,22.3119,Necrotic,
25.908,27.3119,Necrotic,
22.4541,21.1959,Necrotic,
31.7711,23.2399,Necrotic,
