points_x,points_y,celltypes,phenotypes
31.0004,26.1145,Necrotic,
28.6982,31.8634,Necrotic,
18.9201,27.6939,Necrotic,
29.9269,24.0988,Necrotic,
29.6579,19.9523,Necrotic,
28.4143,31.5245,Necrotic,
18.4906,19.8098,Necrotic,
30.5433,25.5176,Necrotic,
19.6292,27.1504,Necrotic,
29.7299,22.3784,Necrotic,
18.3282,26.1925,Necrotic,
29.0358,20.9517,Necrotic,
28.9997,23.6757,Necrotic,
31.9091,27.0979,Necrotic,
20.5859,19.8645,Necrotic,
31.8756,26.8518,Necrotic,
19.5837,26.6113,Necrotic,
30.1665,20.2747,Necrotic,
19.185,27.1722,Necrotic,
16.0335,25.1523,Necrotic,
22.0119,19.4888,Necrotic,
32.4973,24.2699,Necrotic,
30.1284,28.7197,Necrotic,
31.6975,23.5231,Necrotic,
30.1675,29.1533,Necrotic,
30.8048,27.2912,Necrotic,
30.2783,20.4584,Necrotic,
30.1678,28.9341,Necrotic,
19.5243,19.4822,Necrotic,
28.4777,32.1851,Necrotic,
28.0227,26.6058,Necrotic,
16.4764,25.1857,Necrotic,
28.212,32.031,Necrotic,
31.1912,23.6493,Necrotic,
27.9924,18.8117,Necrotic,
19.4071,25.537,Necrotic,
30.2002,20.7014,Necrotic,
29.1176,20.3989,Necrotic,
29.2236,25.9059,Necrotic,
31.1026,27.5997,Necrotic,
38.4383,27.5898,Necrotic,
16.5063,25.2784,Necrotic,
30.8696,27.9314,Necrotic,
29.7173,22.8271,Necrotic,
19.7159,30.3387,Necrotic,
30.9205,25.7603,Necrotic,
28.9719,19.7662,Necrotic,
18.0657,27.9593,Necrotic,
30.9025,17.6795,Necrotic,
28.3402,23.0077,Necrotic,
28.2491,27.0509,Necrotic,
28.2714,31.9253,Necrotic,
22.4223,19.1149,Necrotic,
30.2051,22.5469,Necrotic,
18.1755,26.5914,Necrotic,
29.3605,25.5142,Necrotic,
16.8008,25.0388,Necrotic,
30.8112,26.7777,Necrotic,
19.4216,20.1934,Necrotic,
18.4832,24.8869,Necrotic,
28.5884,26.3049,Necrotic,
30.3061,17.9754,Necrotic,
28.9679,25.2223,Necrotic,
