points_x,points_y,celltypes,phenotypes
22.6225,20.3852,Necrotic,
16.0155,18.7528,Necrotic,
23.0001,15.4173,Necrotic,
23.212,17.0443,Necrotic,
26.8136,23.0961,Necrotic,
22.9683,18.6944,Necrotic,
18.6469,24.3959,Tumour,
23.1237,15.2174,Necrotic,
22.6564,20.3681,Necrotic,
22.7365,20.5051,Necrotic,
20.642,8.18226,Tumour,
33.0287,29.3861,Tumour,
22.7816,20.4161,Necrotic,
23.9053,8.55916,Tumour,
23.0198,13.8677,Necrotic,
20.4667,6.45496,Tumour,
22.6448,13.8107,Necrotic,
22.2194,15.2809,Tumour,
29.6491,32.1216,Tumour,
20.0496,18.6082,Necrotic,
23.3715,20.441,Necrotic,
24.8862,31.3687,Necrotic,
22.8899,20.3892,Necrotic,
29.5721,31.1569,Tumour,
25.8203,24.1427,Tumour,
28.0192,28.1095,Tumour,
23.0601,21.2013,Necrotic,
22.9041,25.6797,Necrotic,
21.4634,6.1298,Tumour,
25.4253,30.2058,Necrotic,
20.5448,9.62227,Tumour,
23.9748,13.5705,Tumour,
17.4712,18.3272,Necrotic,
23.1566,13.3456,Tumour,
23.9376,26.4638,Necrotic,
22.0026,6.7825,Tumour,
22.6562,20.3653,Necrotic,
21.4386,18.2438,Tumour,
22.4682,23.8838,Necrotic,
23.058,15.2661,Necrotic,
17.1887,25.8023,Tumour,
21.4719,22.4205,Necrotic,
22.8174,7.11854,Macrophage,1.0
23.4809,31.334,Tumour,
23.8345,24.5958,Necrotic,
22.6791,20.4154,Necrotic,
22.7568,31.5717,Tumour,
21.9942,5.35343,Macrophage,0.9344999999999136
21.998,10.4069,Tumour,
22.8564,8.13001,Tumour,
27.9815,3.99704,Macrophage,0.7203333333332707
29.3775,21.2639,Tumour,
22.9943,16.9192,Necrotic,
22.9434,16.9989,Necrotic,
23.6289,16.2538,Necrotic,
22.4431,20.3345,Necrotic,
22.8594,20.5373,Necrotic,
21.3914,31.0957,Tumour,
23.4489,10.2294,Tumour,
