points_x,points_y,celltypes,phenotypes
27.643,29.4915,Tumour,
20.5186,25.26,Tumour,
26.3327,26.3101,Tumour,
23.2854,24.9565,Tumour,
20.554,20.8093,Tumour,
27.6322,24.9995,Tumour,
26.863,22.2642,Tumour,
22.5822,27.159,Tumour,
23.7927,26.8934,Tumour,
22.5468,22.7922,Tumour,
29.3894,21.8015,Tumour,
24.4543,24.8251,Necrotic,
29.378,28.8122,Tumour,
26.3934,24.8619,Necrotic,
19.4678,30.0465,Tumour,
24.7492,18.9646,Tumour,
22.2816,25.6152,Tumour,
24.6934,25.5945,Necrotic,
28.0489,23.7003,Tumour,
25.2427,22.1528,Tumour,
28.4559,22.7681,Tumour,
29.1617,25.6636,Tumour,
21.938,23.0951,Tumour,
24.789,29.7317,Tumour,
25.6974,28.7113,Tumour,
24.1958,24.7612,Necrotic,
24.44,25.0667,Necrotic,
21.3324,29.0738,Tumour,
24.1075,20.3812,Tumour,
21.8431,28.2203,Tumour,
26.2079,22.3967,Tumour,
25.2755,27.4867,Tumour,
26.4633,21.6372,Tumour,
24.9181,21.4184,Tumour,
22.3423,26.5624,Tumour,
28.1374,26.3995,Tumour,
26.2982,28.7294,Tumour,
27.9204,21.8656,Tumour,
30.5901,23.8442,Tumour,
18.9578,23.5645,Tumour,
23.7941,28.13,Tumour,
24.9799,24.1026,Tumour,
23.8105,23.6989,Necrotic,
21.1899,22.8474,Tumour,
28.7597,25.12,Tumour,
24.245,24.9981,Necrotic,
23.2021,22.5942,Tumour,
25.2754,20.5499,Tumour,
23.4234,23.9561,Necrotic,
20.6397,30.1801,Tumour,
21.0858,25.0648,Tumour,
20.1193,24.249,Tumour,
28.1002,27.0281,Tumour,
22.0348,21.2423,Tumour,
23.935,27.5534,Tumour,
20.537,20.1608,Tumour,
22.2228,20.4384,Tumour,
24.7332,27.881,Tumour,
20.4527,22.5167,Tumour,
27.272,21.8157,Tumour,
27.2299,22.7716,Tumour,
28.0115,27.6935,Tumour,
20.0848,27.4972,Tumour,
30.651,24.958,Tumour,
29.1439,23.2004,Tumour,
21.3987,21.541,Tumour,
26.8036,27.3812,Tumour,
25.1362,22.929,Necrotic,
