points_x,points_y,celltypes,phenotypes
37.0,12.0,Vessel,
31.0,7.0,Vessel,
42.0,18.0,Vessel,
4.0,39.0,Vessel,
46.0,45.0,Vessel,
3.0,11.0,Vessel,
11.0,49.0,Vessel,
18.0,1.0,Vessel,
23.0,42.0,Vessel,
26.0,3.0,Vessel,
21.0,6.0,Vessel,
1.0,30.0,Vessel,
8.0,49.0,Vessel,
34.0,4.0,Vessel,
46.0,31.0,Vessel,
17.0,43.0,Vessel,
30.0,5.0,Vessel,
16.0,7.0,Vessel,
7.0,38.0,Vessel,
43.0,20.0,Vessel,
10.0,46.0,Vessel,
41.0,48.0,Vessel,
43.0,30.0,Vessel,
45.0,49.0,Vessel,
8.0,48.0,Vessel,
14.0,6.0,Vessel,
48.0,35.0,Vessel,
3.0,7.0,Vessel,
41.0,9.0,Vessel,
18.0,7.0,Vessel,
16.0,42.0,Vessel,
46.0,10.0,Vessel,
48.0,5.0,Vessel,
46.0,13.0,Vessel,
48.0,27.0,Vessel,
