points_x,points_y,celltypes,phenotypes
21.9956,19.0053,Tumour,
27.1852,21.7261,Tumour,
24.0436,31.325,Tumour,
31.1777,25.0922,Tumour,
30.7609,30.1315,Tumour,
18.0454,25.984,Tumour,
31.0599,29.456,Tumour,
25.2081,18.8724,Tumour,
24.4468,18.6865,Tumour,
18.929,22.3489,Tumour,
31.7733,21.863,Tumour,
21.0141,29.5471,Tumour,
29.0086,28.9569,Tumour,
22.0232,18.3771,Tumour,
16.5334,26.4552,Tumour,
17.3426,23.8278,Tumour,
29.3672,22.5636,Tumour,
33.1238,20.8604,Tumour,
23.3746,31.737,Tumour,
31.6062,22.7094,Tumour,
32.6813,25.227,Tumour,
19.6697,22.4379,Tumour,
20.064,20.062,Tumour,
31.7226,28.5394,Tumour,
21.8862,29.8895,Tumour,
17.3981,26.9085,Tumour,
31.0925,21.3333,Tumour,
22.4298,31.8392,Tumour,
23.0562,19.0964,Tumour,
32.9974,22.199,Tumour,
28.449,19.3877,Tumour,
32.3607,22.3354,Tumour,
16.3577,25.6331,Tumour,
22.014,31.2809,Tumour,
32.3437,29.0189,Tumour,
32.809,27.1228,Tumour,
33.5525,22.492,Tumour,
30.5115,20.9001,Tumour,
28.7299,29.6108,Tumour,
33.4728,25.6807,Tumour,
29.2412,26.27,Tumour,
25.7814,19.5298,Tumour,
25.786,31.3187,Tumour,
29.7022,30.2217,Tumour,
30.163,29.741,Tumour,
33.0777,21.4831,Tumour,
32.3539,23.6743,Tumour,
24.0925,32.1026,Tumour,
18.1245,24.1994,Tumour,
18.8805,27.7664,Tumour,
31.5645,29.9662,Tumour,
21.3208,19.0352,Tumour,
22.7483,18.447,Tumour,
31.6973,29.238,Tumour,
32.3973,21.5078,Tumour,
31.9823,28.0585,Tumour,
17.9847,26.6318,Tumour,
23.0018,32.2925,Tumour,
32.2297,24.3736,Tumour,
19.5557,20.8221,Tumour,
32.2776,27.4762,Tumour,
33.1215,24.7,Tumour,
30.2728,21.7726,Tumour,
26.4401,28.9256,Tumour,
20.2004,28.9896,Tumour,
24.8177,32.4377,Tumour,
31.5024,20.8453,Tumour,
