points_x,points_y,celltypes,phenotypes
29.372,25.3257,Tumour,
26.3931,21.8483,Tumour,
22.5846,22.734,Tumour,
17.4052,25.4063,Tumour,
21.1804,22.8999,Tumour,
19.6874,29.3244,Tumour,
28.5472,22.1341,Tumour,
20.3238,26.0869,Tumour,
27.2581,26.7935,Tumour,
20.938,26.9199,Tumour,
29.763,23.3402,Tumour,
24.6078,28.6131,Tumour,
19.7593,26.3731,Tumour,
21.9302,22.1726,Tumour,
29.9798,24.9568,Tumour,
27.9661,21.9698,Tumour,
26.0006,22.8165,Tumour,
27.2861,27.474,Tumour,
21.9844,24.345,Tumour,
26.7661,30.0266,Tumour,
21.8547,22.8523,Tumour,
14.9186,26.273,Tumour,
21.0575,28.4451,Tumour,
25.9432,27.3506,Tumour,
22.5291,28.5076,Tumour,
21.0426,22.2298,Tumour,
25.179,21.2488,Tumour,
28.487,25.6179,Tumour,
24.0998,29.1437,Tumour,
21.9537,28.7741,Tumour,
26.7677,28.7165,Tumour,
20.9873,25.8361,Tumour,
19.6052,28.3876,Tumour,
29.1758,23.7271,Tumour,
28.6798,23.3494,Tumour,
27.0898,29.388,Tumour,
20.264,28.5415,Tumour,
19.6042,26.9619,Tumour,
26.4667,28.1873,Tumour,
28.8318,26.9048,Tumour,
19.8063,25.4152,Tumour,
23.2263,22.397,Tumour,
25.4901,29.9719,Tumour,
26.3127,29.3611,Tumour,
27.4482,20.7158,Tumour,
23.5774,22.9244,Tumour,
25.3386,27.798,Tumour,
17.1078,26.1922,Tumour,
16.0399,25.7705,Tumour,
22.1043,23.5601,Tumour,
19.2394,25.205,Tumour,
25.7454,20.3756,Tumour,
25.613,23.2858,Tumour,
29.7782,26.5233,Tumour,
28.7966,25.0501,Tumour,
27.7174,30.3287,Tumour,
17.9438,25.9771,Tumour,
27.9243,22.9906,Tumour,
21.3633,21.6586,Tumour,
27.4225,22.3759,Tumour,
28.4024,26.3047,Tumour,
23.4686,29.4554,Tumour,
20.5046,27.8701,Tumour,
24.3434,23.3196,Tumour,
27.6661,29.6842,Tumour,
29.1752,26.0826,Tumour,
28.2498,21.1996,Tumour,
27.5534,21.2995,Tumour,
20.3885,25.3213,Tumour,
28.6562,22.7441,Tumour,
19.1471,29.039,Tumour,
