points_x,points_y,celltypes,phenotypes
26.3601,20.4516,Tumour,
23.7513,26.6602,Tumour,
22.2327,19.5553,Tumour,
30.3077,26.8123,Tumour,
27.6605,17.6924,Tumour,
27.1427,23.1407,Tumour,
22.8214,22.0343,Tumour,
22.5624,26.4187,Tumour,
23.0252,18.6691,Tumour,
28.1921,24.7187,Tumour,
26.974,27.3558,Tumour,
25.4581,24.2176,Tumour,
18.6286,23.7227,Tumour,
24.2162,27.5509,Tumour,
29.3135,24.1355,Tumour,
23.1345,19.8785,Tumour,
28.0953,15.0954,Tumour,
21.6591,22.6685,Tumour,
22.0215,30.0767,Tumour,
27.9313,26.3322,Tumour,
28.4109,22.336,Tumour,
28.1573,28.0893,Tumour,
26.0547,32.1704,Tumour,
27.7994,22.8836,Tumour,
22.0538,24.3819,Tumour,
23.0735,28.6913,Tumour,
22.5291,22.8501,Tumour,
30.6027,27.6545,Tumour,
25.7415,28.4553,Tumour,
24.3069,22.8781,Tumour,
25.6444,21.017,Tumour,
26.7401,18.2723,Tumour,
28.7764,24.4822,Tumour,
26.3969,23.0605,Tumour,
21.0525,19.0404,Tumour,
26.4767,29.5942,Tumour,
17.1216,24.5296,Tumour,
28.2678,21.3204,Tumour,
19.8796,27.1452,Tumour,
27.2752,19.8557,Tumour,
21.2122,26.4903,Tumour,
26.3259,28.562,Tumour,
24.3381,26.8082,Tumour,
23.0388,23.145,Tumour,
23.5764,30.1952,Tumour,
25.2881,18.1915,Tumour,
30.0028,27.7588,Tumour,
25.7816,20.1864,Tumour,
21.1028,29.0734,Tumour,
19.3165,23.3469,Tumour,
28.8408,27.2977,Tumour,
18.1214,25.28,Tumour,
25.4157,27.6457,Tumour,
27.5958,22.2585,Tumour,
25.2549,20.6431,Tumour,
31.0928,26.4642,Tumour,
24.7663,29.5465,Tumour,
28.4582,26.7046,Tumour,
21.1036,24.1865,Tumour,
24.8469,27.3099,Tumour,
22.2761,20.1398,Tumour,
21.9519,28.0879,Tumour,
19.9523,25.5204,Tumour,
27.1561,26.4831,Tumour,
26.7832,24.3406,Tumour,
27.5597,23.7327,Tumour,
23.5863,27.4457,Tumour,
17.6429,23.7101,Tumour,
26.2374,19.5279,Tumour,
26.4833,30.2533,Tumour,
23.6546,20.5178,Tumour,
22.2339,22.3383,Tumour,
28.2393,25.3864,Tumour,
