points_x,points_y,celltypes,phenotypes
34.334,24.6688,Tumour,
32.9647,20.4772,Tumour,
29.9614,30.3698,Tumour,
31.9621,35.8013,Tumour,
24.0875,27.2531,Tumour,
31.4843,20.8886,Tumour,
32.2559,24.6554,Tumour,
27.9895,20.5106,Tumour,
28.1095,32.9656,Tumour,
28.3378,31.2672,Tumour,
31.6549,32.667,Tumour,
29.5482,28.392,Tumour,
35.274,37.8973,Tumour,
36.0015,38.005,Tumour,
21.3122,22.1036,Tumour,
34.4088,36.8368,Tumour,
31.5631,26.1277,Tumour,
24.5493,28.7641,Tumour,
30.3496,33.3099,Tumour,
28.1464,18.809,Tumour,
30.1368,20.7512,Tumour,
22.1826,26.251,Tumour,
20.7983,23.4815,Tumour,
31.2038,34.5726,Tumour,
33.8405,36.421,Tumour,
22.1683,24.8801,Tumour,
22.9872,21.0644,Tumour,
29.8636,26.3753,Tumour,
28.2196,30.4059,Tumour,
27.0184,30.1952,Tumour,
22.6115,29.8963,Tumour,
33.8792,25.0732,Tumour,
31.1436,31.2031,Tumour,
30.7017,30.5825,Tumour,
28.6721,20.9326,Tumour,
25.2598,28.8372,Tumour,
33.2561,34.9449,Tumour,
35.289,38.4204,Tumour,
26.7366,18.2521,Tumour,
24.4935,22.5385,Tumour,
32.5146,35.261,Tumour,
21.3544,26.0045,Tumour,
29.0034,32.2572,Tumour,
21.771,23.2068,Tumour,
33.0682,33.3596,Tumour,
34.5432,38.2502,Tumour,
32.5973,25.2945,Tumour,
36.8574,38.0228,Tumour,
31.0686,25.4835,Tumour,
30.5118,22.6485,Tumour,
23.023,30.5628,Tumour,
31.6084,35.2008,Tumour,
33.3017,24.4504,Tumour,
27.7256,17.6861,Tumour,
27.7233,19.9502,Tumour,
29.1997,20.7856,Tumour,
31.3644,31.8372,Tumour,
31.1808,22.4234,Tumour,
33.9738,35.5464,Tumour,
30.7904,20.9772,Tumour,
25.1009,27.9964,Tumour,
24.5668,20.6626,Tumour,
26.9681,19.8543,Tumour,
21.4465,25.287,Tumour,
34.6729,39.5251,Tumour,
37.4995,38.3534,Tumour,
35.9149,37.4568,Tumour,
25.6034,20.9738,Tumour,
20.705,22.846,Tumour,
27.4095,18.4285,Tumour,
23.0201,26.2606,Tumour,
32.4013,33.7114,Tumour,
31.7347,33.7384,Tumour,
33.1957,25.1484,Tumour,
30.9674,33.9757,Tumour,
30.9157,32.3731,Tumour,
26.2538,29.8119,Tumour,
29.5069,32.9095,Tumour,
31.2536,21.7331,Tumour,
22.2512,22.5246,Tumour,
32.2971,20.7221,Tumour,
21.3893,22.7363,Tumour,
22.3231,23.9862,Tumour,
24.9632,21.1605,Tumour,
31.631,24.8104,Tumour,
28.6905,32.8438,Tumour,
34.4747,38.8251,Tumour,
