points_x,points_y,celltypes,phenotypes
27.1506,16.6308,Tumour,
24.506,23.112,Tumour,
23.7609,18.207,Tumour,
22.0413,29.9718,Tumour,
29.8063,25.6391,Tumour,
20.4603,23.5957,Tumour,
25.2693,17.1953,Tumour,
26.9517,24.965,Tumour,
20.9321,25.2372,Tumour,
25.0916,31.8175,Tumour,
29.1172,29.5713,Tumour,
29.9568,19.8065,Tumour,
22.4328,19.648,Tumour,
18.0495,26.9867,Tumour,
26.5405,19.9068,Tumour,
25.6449,26.3577,Tumour,
21.6593,25.4421,Tumour,
23.9519,28.525,Tumour,
24.3382,18.5965,Tumour,
24.5289,24.4677,Tumour,
19.4976,21.63,Tumour,
26.9858,18.7364,Tumour,
23.0667,20.7551,Tumour,
28.5161,27.3309,Tumour,
30.3543,21.8611,Tumour,
22.5313,27.6323,Tumour,
24.8011,28.2786,Tumour,
21.1367,28.5026,Tumour,
25.3713,20.2812,Tumour,
19.7443,28.42,Tumour,
21.7505,21.6161,Tumour,
26.1855,28.4925,Tumour,
29.2634,23.8601,Tumour,
28.7344,19.8689,Tumour,
27.6984,19.0958,Tumour,
24.4572,31.511,Tumour,
27.2764,20.6593,Tumour,
27.5756,28.7021,Tumour,
22.4633,20.9894,Tumour,
27.4429,25.3333,Tumour,
18.3382,24.3485,Tumour,
27.2826,23.2703,Tumour,
25.6891,29.1523,Tumour,
26.2738,20.5374,Tumour,
20.0164,25.5507,Tumour,
19.0301,25.6245,Tumour,
21.5926,24.2322,Tumour,
22.7424,26.5953,Tumour,
26.3269,31.2498,Tumour,
23.2055,16.5699,Tumour,
22.7879,29.9051,Tumour,
27.0579,30.2994,Tumour,
24.3665,20.4617,Tumour,
29.746,22.7558,Tumour,
22.378,25.9317,Tumour,
26.0602,19.0777,Tumour,
24.0878,31.9988,Tumour,
26.3457,16.4527,Tumour,
24.7375,15.748,Tumour,
20.5002,24.2948,Tumour,
27.1558,28.3417,Tumour,
19.2678,27.1509,Tumour,
17.9287,26.2301,Tumour,
30.1333,24.2745,Tumour,
20.8026,22.559,Tumour,
26.9418,26.9531,Tumour,
28.781,21.3825,Tumour,
29.3068,21.0742,Tumour,
21.7563,26.978,Tumour,
28.0881,30.5147,Tumour,
24.7322,29.8798,Tumour,
21.0696,21.746,Tumour,
28.2333,25.0102,Tumour,
27.936,27.0393,Tumour,
20.8295,21.2061,Tumour,
25.4788,15.7891,Tumour,
28.9377,17.1991,Tumour,
23.8828,30.5282,Tumour,
23.8174,26.7849,Tumour,
25.9586,17.3623,Tumour,
25.3274,19.3735,Tumour,
20.2678,26.2511,Tumour,
27.7739,20.1223,Tumour,
24.4233,26.9312,Tumour,
21.6523,25.9996,Tumour,
28.2486,28.8756,Tumour,
18.7708,23.3568,Tumour,
28.6671,22.3972,Tumour,
24.5638,30.496,Tumour,
25.7178,20.7907,Tumour,
26.9104,23.7215,Tumour,
31.329,24.2902,Tumour,
22.1096,26.5687,Tumour,
23.4282,17.6871,Tumour,
25.5439,27.7542,Tumour,
29.9066,26.6472,Tumour,
22.8816,28.2658,Tumour,
27.8,18.423,Tumour,
23.4665,18.7397,Tumour,
20.1005,21.4355,Tumour,
24.9866,20.8552,Tumour,
26.287,30.5205,Tumour,
26.4961,25.2986,Tumour,
24.0449,32.6444,Tumour,
22.7306,17.7861,Tumour,
25.6147,21.3719,Tumour,
26.3849,26.7644,Tumour,
27.1978,24.3197,Tumour,
27.5958,26.5844,Tumour,
24.3459,15.2914,Tumour,
21.4101,24.8276,Tumour,
22.8938,23.2141,Tumour,
28.153,17.4489,Tumour,
16.5794,24.7229,Tumour,
